freq,sitc06,partner,unit,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,TOTAL,CN_X_HK,MIO_EUR,HR	96 	161 	271 	358 	511 	705 	911 	1166 	1287 	1036 	1085 	1153 	1157 	956 	443 	525 	596 	707 	816 	726 	1079 	1040 	1390 	1298 
A,TOTAL,CN_X_HK,MIO_EUR,HU	1031 	1489 	2209 	2914 	3661 	3816 	4307 	5394 	5586 	4837 	6560 	6189 	5495 	5169 	4813 	5150 	5308 	5611 	6449 	7502 	8862 	9893 	12645 	11043 
A,TOTAL,CN_X_HK,MIO_EUR,IE	741 	718 	763 	1101 	1293 	1550 	1767 	2013 	1879 	1714 	1890 	1802 	1888 	2008 	2192 	2688 	2785 	2973 	3599 	3146 	3836 	6997 	12210 	8591 
A,TOTAL,CN_X_HK,MIO_EUR,IT	7028 	7484 	8307 	9553 	11828 	14135 	17911 	21689 	23606 	19334 	28789 	29574 	25006 	23071 	25075 	28232 	27346 	28460 	30889 	31665 	32144 	38525 	57867 	47589 
A,TOTAL,CN_X_HK,MIO_EUR,LT	89 	135 	193 	269 	237 	291 	369 	498 	542 	325 	430 	452 	531 	565 	666 	725 	709 	823 	864 	929 	1179 	1595 	1995 	1710 
A,TOTAL,CN_X_HK,MIO_EUR,LU	89 	81 	74 	1549 	2022 	2249 	3539 	3417 	4086 	3321 	1656 	1439 	1535 	1282 	1193 	2438 	1135 	319 	459 	1509 	276 	284 	311 	213 
A,TOTAL,CN_X_HK,MIO_EUR,LV	26 	30 	45 	60 	72 	105 	153 	257 	250 	145 	220 	301 	362 	342 	355 	417 	403 	440 	491 	510 	637 	860 	996 	869 
A,TOTAL,CN_X_HK,MIO_EUR,MT	61 	60 	66 	86 	66 	58 	102 	93 	106 	118 	117 	152 	161 	136 	147 	213 	185 	170 	212 	255 	363 	298 	367 	356 
A,TOTAL,CN_X_HK,MIO_EUR,NL	8705 	10440 	12000 	14739 	18998 	25827 	30972 	37746 	40382 	36897 	49475 	51217 	55293 	53375 	57017 	66925 	71426 	83363 	85523 	88789 	91067 	110428 	139051 	116942 
A,TOTAL,CN_X_HK,MIO_EUR,PL	1500 	1805 	2197 	2560 	2331 	2606 	3571 	5050 	6276 	5557 	6934 	7433 	7968 	8469 	10558 	13087 	14076 	16316 	17976 	20536 	23242 	31121 	37597 	31684 
A,TOTAL,CN_X_HK,MIO_EUR,PT	382 	351 	345 	371 	459 	569 	773 	1063 	1342 	1115 	1578 	1526 	1391 	1370 	1599 	1778 	1819 	2051 	2350 	2953 	3067 	10087 	5576 	5221 
