freq,sitc06,partner,unit,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,TOTAL,OLIC,MIO_EUR,DK	556 	539 	520 	560 	633 	699 	586 	677 	223 	219 	218 	4 	4 	4 	4 	3 	3 	5 	1 	1 	1 	0 	0 	0 
A,TOTAL,OLIC,MIO_EUR,EE	47 	57 	74 	71 	53 	30 	43 	42 	44 	18 	20 	0 	0 	0 	0 	0 	1 	0 	: 	0 	0 	: 	: 	0 
A,TOTAL,OLIC,MIO_EUR,EL	418 	446 	502 	619 	687 	698 	790 	806 	457 	220 	158 	13 	57 	53 	3 	3 	8 	11 	2 	1 	3 	1 	3 	3 
A,TOTAL,OLIC,MIO_EUR,ES	5551 	5314 	4828 	5553 	5647 	7329 	7540 	7770 	6044 	4037 	5697 	75 	46 	32 	59 	63 	39 	46 	10 	13 	11 	12 	18 	41 
A,TOTAL,OLIC,MIO_EUR,EU27_2020	: 	: 	37776 	39429 	40787 	48201 	44344 	48136 	28333 	21710 	28331 	1476 	1432 	1416 	1402 	1388 	1281 	1343 	362 	361 	407 	399 	76 	137 
A,TOTAL,OLIC,MIO_EUR,FI	260 	276 	243 	270 	252 	324 	204 	243 	146 	92 	111 	17 	17 	12 	14 	17 	19 	12 	0 	0 	0 	5 	0 	0 
A,TOTAL,OLIC,MIO_EUR,FR	5403 	5403 	5066 	4992 	4916 	5899 	5761 	6439 	4613 	3253 	4322 	129 	110 	118 	102 	134 	95 	128 	47 	50 	35 	46 	4 	4 
A,TOTAL,OLIC,MIO_EUR,HR	96 	71 	105 	121 	151 	120 	131 	158 	74 	62 	61 	1 	3 	1 	1 	10 	1 	2 	2 	1 	2 	2 	1 	0 
A,TOTAL,OLIC,MIO_EUR,HU	286 	330 	407 	445 	391 	279 	293 	587 	155 	79 	130 	1 	2 	2 	1 	2 	4 	4 	3 	3 	5 	4 	0 	0 
A,TOTAL,OLIC,MIO_EUR,IE	328 	349 	342 	331 	374 	436 	316 	375 	98 	112 	87 	12 	14 	14 	14 	38 	14 	17 	0 	0 	0 	1 	0 	0 
A,TOTAL,OLIC,MIO_EUR,IT	5406 	5593 	5282 	5465 	6006 	6849 	6139 	6712 	2747 	2133 	2247 	251 	220 	179 	222 	210 	173 	171 	111 	97 	74 	106 	14 	48 
A,TOTAL,OLIC,MIO_EUR,LT	45 	58 	60 	72 	54 	59 	60 	67 	54 	33 	31 	2 	1 	12 	1 	1 	7 	2 	0 	: 	0 	0 	: 	0 
A,TOTAL,OLIC,MIO_EUR,LU	49 	51 	44 	56 	61 	57 	20 	25 	2 	5 	5 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 
A,TOTAL,OLIC,MIO_EUR,LV	16 	14 	17 	23 	26 	41 	43 	45 	21 	12 	18 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	0 
A,TOTAL,OLIC,MIO_EUR,MT	22 	22 	21 	25 	20 	27 	28 	27 	4 	5 	5 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 
A,TOTAL,OLIC,MIO_EUR,NL	4327 	4723 	4408 	5141 	4875 	6141 	4996 	5289 	3697 	3399 	4855 	565 	501 	588 	521 	529 	522 	588 	108 	107 	96 	75 	8 	15 
A,TOTAL,OLIC,MIO_EUR,PL	610 	643 	744 	693 	616 	676 	1032 	1236 	313 	224 	308 	25 	23 	31 	34 	45 	45 	33 	10 	21 	18 	18 	1 	1 
A,TOTAL,OLIC,MIO_EUR,PT	1358 	1307 	1048 	1105 	1213 	1452 	1250 	1572 	1919 	1422 	1571 	51 	50 	24 	38 	8 	10 	16 	4 	3 	6 	5 	0 	0 
A,TOTAL,OLIC,MIO_EUR,RO	157 	221 	264 	240 	398 	427 	467 	557 	84 	93 	120 	13 	59 	9 	29 	19 	20 	5 	2 	2 	5 	6 	2 	4 
A,TOTAL,OLIC,MIO_EUR,SE	622 	668 	605 	595 	636 	753 	645 	757 	450 	400 	402 	42 	54 	35 	31 	33 	30 	31 	2 	1 	1 	3 	4 	3 
A,TOTAL,OLIC,MIO_EUR,SI	85 	101 	105 	127 	107 	118 	112 	119 	23 	18 	25 	2 	2 	2 	1 	2 	4 	2 	1 	2 	1 	2 	0 	0 
A,TOTAL,OLIC,MIO_EUR,SK	86 	104 	145 	164 	155 	128 	84 	163 	114 	119 	133 	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,TOTAL,UMIC_X_CN,MIO_EUR,AT	1305 	1527 	1798 	1157 	1480 	1547 	3434 	3743 	5379 	4145 	4930 	5930 	6091 	6020 	6831 	6350 	5681 	6430 	7425 	7715 	5515 	7813 	9251 	9739 
A,TOTAL,UMIC_X_CN,MIO_EUR,BE	4848 	5288 	5187 	4186 	4377 	4930 	7442 	9106 	12135 	9005 	10945 	18343 	18929 	17639 	20350 	21065 	22560 	23876 	24378 	22558 	19501 	24036 	28758 	22335 
A,TOTAL,UMIC_X_CN,MIO_EUR,BG	412 	491 	594 	256 	421 	556 	1646 	2009 	2275 	1660 	1692 	2111 	2281 	2432 	2622 	2621 	2693 	3352 	3540 	3548 	3926 	5477 	8782 	7816 
A,TOTAL,UMIC_X_CN,MIO_EUR,CY	76 	81 	89 	88 	133 	172 	103 	162 	231 	156 	217 	182 	226 	113 	150 	263 	327 	363 	625 	384 	273 	519 	596 	561 
A,TOTAL,UMIC_X_CN,MIO_EUR,CZ	532 	830 	1042 	1051 	611 	386 	815 	847 	1580 	1190 	1676 	4430 	4263 	4018 	4754 	4358 	3816 	5005 	5903 	5890 	4877 	6350 	8765 	8827 
A,TOTAL,UMIC_X_CN,MIO_EUR,DE	17860 	17431 	16684 	10979 	11894 	13779 	28364 	29829 	43431 	31638 	39879 	56131 	56748 	55323 	55559 	55654 	55660 	63349 	63762 	63764 	54807 	70267 	91076 	84688 
A,TOTAL,UMIC_X_CN,MIO_EUR,DK	1066 	1321 	1292 	812 	958 	1117 	1619 	1658 	2363 	1759 	2049 	3141 	3253 	2739 	2809 	2837 	2715 	2901 	2624 	2700 	2599 	3341 	4347 	3423 
A,TOTAL,UMIC_X_CN,MIO_EUR,EE	35 	65 	77 	60 	51 	52 	99 	86 	458 	237 	253 	364 	456 	241 	238 	221 	227 	284 	639 	475 	425 	969 	613 	459 
A,TOTAL,UMIC_X_CN,MIO_EUR,EL	1955 	2380 	2284 	1660 	2003 	2409 	4690 	4786 	5828 	4079 	4909 	7318 	7864 	6194 	10221 	7811 	7464 	9375 	12048 	11007 	7815 	12880 	20348 	18983 
A,TOTAL,UMIC_X_CN,MIO_EUR,ES	8607 	8872 	9386 	7738 	8981 	11928 	20540 	20453 	23053 	15547 	19133 	33873 	37441 	37194 	36493 	32051 	29839 	37433 	41021 	37096 	26377 	39284 	51725 	41721 
A,TOTAL,UMIC_X_CN,MIO_EUR,EU27_2020	: 	: 	87580 	68964 	76577 	89871 	155765 	161845 	220011 	155321 	191867 	301904 	311342 	287646 	292835 	281604 	275201 	317457 	330138 	322559 	264152 	356955 	480811 	428316 
A,TOTAL,UMIC_X_CN,MIO_EUR,FI	696 	641 	627 	550 	660 	828 	980 	1083 	2035 	1276 	1646 	2617 	2591 	2568 	2547 	1928 	1812 	1739 	1536 	1567 	1695 	2318 	3400 	2717 
A,TOTAL,UMIC_X_CN,MIO_EUR,FR	14820 	13992 	13161 	9352 	10148 	10948 	16540 	15818 	21148 	16691 	21981 	37556 	36481 	34725 	32596 	31355 	29714 	33250 	29812 	29284 	21372 	28906 	33365 	32500 
A,TOTAL,UMIC_X_CN,MIO_EUR,HR	117 	185 	241 	170 	211 	254 	378 	495 	1037 	733 	945 	2234 	1961 	2095 	1682 	1982 	2206 	2643 	2906 	2758 	2829 	3994 	5679 	4642 
A,TOTAL,UMIC_X_CN,MIO_EUR,HU	946 	1225 	1419 	1148 	1149 	804 	1031 	1175 	1806 	1378 	1592 	2460 	2684 	2934 	2680 	3375 	3519 	4525 	5137 	5174 	4880 	5844 	7246 	7218 
A,TOTAL,UMIC_X_CN,MIO_EUR,IE	1040 	1095 	1064 	946 	831 	1020 	1272 	1316 	1348 	1309 	1721 	2339 	3129 	2092 	2537 	2330 	2023 	1968 	2099 	2221 	2234 	3217 	4824 	4621 
A,TOTAL,UMIC_X_CN,MIO_EUR,IT	11548 	12223 	11680 	9139 	10867 	12530 	31559 	33069 	40632 	26316 	33132 	56649 	59629 	48854 	45144 	43161 	40815 	47365 	49687 	46733 	33644 	50901 	77728 	61357 
A,TOTAL,UMIC_X_CN,MIO_EUR,LT	77 	106 	146 	90 	66 	81 	233 	207 	718 	411 	549 	880 	1145 	1280 	1588 	1672 	1326 	1948 	2013 	1925 	1773 	3042 	2157 	1080 
A,TOTAL,UMIC_X_CN,MIO_EUR,LU	84 	99 	23 	33 	47 	385 	329 	163 	109 	93 	254 	522 	802 	682 	793 	940 	930 	861 	368 	76 	83 	108 	161 	274 
A,TOTAL,UMIC_X_CN,MIO_EUR,LV	20 	31 	39 	14 	17 	20 	75 	98 	544 	319 	416 	665 	644 	554 	500 	444 	323 	407 	531 	527 	476 	712 	751 	681 
A,TOTAL,UMIC_X_CN,MIO_EUR,MT	85 	88 	102 	79 	106 	60 	117 	96 	99 	69 	133 	160 	203 	225 	301 	269 	271 	306 	277 	346 	201 	339 	389 	367 
A,TOTAL,UMIC_X_CN,MIO_EUR,NL	14599 	14086 	13770 	14571 	16007 	19999 	23096 	22230 	31463 	22598 	25904 	39692 	40799 	37957 	37396 	35249 	36065 	40191 	39541 	43703 	39479 	48361 	67901 	65438 
A,TOTAL,UMIC_X_CN,MIO_EUR,PL	1041 	1491 	1652 	1010 	1063 	831 	2165 	2515 	4115 	3291 	3486 	4998 	4752 	5002 	6651 	7839 	6934 	7897 	9679 	9105 	8783 	11004 	15239 	13731 
A,TOTAL,UMIC_X_CN,MIO_EUR,PT	1706 	1996 	1953 	1603 	1799 	2049 	2479 	2630 	4371 	2568 	3733 	5057 	5414 	3791 	4326 	4228 	4300 	5198 	5877 	5086 	4185 	5835 	8781 	6582 
A,TOTAL,UMIC_X_CN,MIO_EUR,RO	584 	783 	922 	379 	539 	720 	2358 	3153 	6539 	3714 	4020 	5846 	5498 	5078 	5697 	5024 	5359 	6527 	7730 	8316 	6841 	8982 	14389 	14278 
A,TOTAL,UMIC_X_CN,MIO_EUR,SE	2018 	1589 	1412 	1019 	1358 	1451 	2499 	2687 	3733 	2352 	3171 	4719 	4200 	4043 	4163 	3902 	3768 	4263 	4388 	3705 	3151 	4398 	5406 	5160 
A,TOTAL,UMIC_X_CN,MIO_EUR,SI	644 	657 	669 	664 	618 	850 	1529 	1998 	2856 	2267 	2756 	2720 	2755 	2723 	2796 	3152 	3336 	4258 	4746 	5078 	4673 	5837 	6586 	6464 
A,TOTAL,UMIC_X_CN,MIO_EUR,SK	143 	236 	268 	207 	182 	165 	374 	432 	725 	517 	745 	967 	1104 	1129 	1412 	1525 	1518 	1740 	1845 	1817 	1738 	2221 	2549 	2651 
