freq,fin_source,unit,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,FLOW_PRV,MEUR_KP21,FR	2096 	17473 	76 	-872 	4378 	7886 	13890 	30902 	24261 	21047 	12309 	17111 	15520 	-1226 	6502 	-7955 	10700 	11157 	: 	8948 	4542 	1925 	7395 
A,FLOW_PRV,MEUR_KP21,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	-316 	728 	10957 	2790 	4987 	801 
A,FLOW_PRV,MEUR_KP21,IE	636 	513 	1314 	1670 	2921 	4037 	3512 	3559 	3532 	2551 	1375 	858 	: 	875 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,FLOW_PRV,MEUR_KP21,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	10 	12 	2 	52 	: 	: 	: 
A,FLOW_PRV,MEUR_KP21,IT	13410 	-3687 	-3696 	457 	-1481 	-1398 	99 	-1891 	163 	1399 	4882 	5156 	6327 	8978 	3146 	9602 	12611 	6832 	85 	1421 	404 	3534 	372 
A,FLOW_PRV,MEUR_KP21,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-22 
A,FLOW_PRV,MEUR_KP21,NL	5876 	-10916 	-8724 	8657 	5838 	6581 	16523 	10334 	-17450 	-1120 	6135 	13300 	12638 	11245 	54348 	62660 	34932 	31419 	8431 	20516 	4574 	-9449 	-1408 
A,FLOW_PRV,MEUR_KP21,NO	-62 	-227 	36 	1611 	768 	1963 	2447 	2277 	-188 	788 	1208 	0 	0 	0 	1 	0 	: 	: 	: 	: 	: 	2319 	3450 
A,FLOW_PRV,MEUR_KP21,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	56 	397 	411 	172 	178 	131 	: 	: 
A,FLOW_PRV,MEUR_KP21,PT	6536 	2058 	-530 	808 	197 	568 	43 	1353 	200 	-1947 	-1230 	-1746 	-71 	1431 	1732 	354 	477 	2964 	839 	60 	-676 	75 	830 
A,FLOW_PRV,MEUR_KP21,SE	1150 	737 	399 	-371 	592 	433 	326 	1944 	-261 	824 	60 	1061 	7382 	3702 	2786 	3267 	2180 	1980 	2241 	2924 	1842 	4474 	3830 
A,FLOW_PRV,MEUR_KP21,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	93 	146 	-52 	50 	48 	455 	203 	390 
A,FLOW_PRV,MEUR_KP21,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-6 	24 	10 	: 
A,FLOW_PRV,MEUR_KP21,TR	: 	: 	: 	: 	: 	: 	614 	386 	345 	380 	323 	437 	364 	407 	1280 	365 	372 	275 	236 	173 	242 	273 	244 
A,GRNT_NGO,MEUR_KP21,AT	100 	90 	86 	88 	98 	150 	124 	115 	120 	124 	155 	157 	241 	154 	164 	163 	154 	142 	154 	152 	166 	171 	: 
A,GRNT_NGO,MEUR_KP21,BE	117 	223 	109 	200 	195 	263 	257 	315 	309 	333 	343 	442 	: 	573 	397 	392 	258 	: 	: 	: 	: 	: 	: 
A,GRNT_NGO,MEUR_KP21,CH	269 	301 	313 	370 	385 	401 	478 	327 	399 	352 	391 	375 	402 	423 	351 	480 	505 	504 	500 	494 	445 	443 	505 
A,GRNT_NGO,MEUR_KP21,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 
A,GRNT_NGO,MEUR_KP21,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
