freq,fin_source,unit,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,TOTAL,MEUR_KP21,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	51 	166 
A,TOTAL,MEUR_KP21,EL	314 	282 	415 	419 	300 	636 	2482 	2578 	806 	594 	559 	336 	683 	646 	-332 	-77 	-1831 	327 	224 	334 	402 	140 	256 
A,TOTAL,MEUR_KP21,ES	37188 	18047 	11683 	7651 	12820 	6561 	10239 	17643 	22744 	10017 	8487 	15754 	1674 	6523 	11195 	21476 	4591 	8228 	12863 	12544 	12457 	6258 	7034 
A,TOTAL,MEUR_KP21,EU27_2020	116078 	63150 	41099 	55563 	74322 	104963 	117825 	153529 	108993 	99621 	126417 	138800 	111324 	120068 	166130 	151687 	138911 	162391 	115970 	137554 	111365 	115163 	126345 
A,TOTAL,MEUR_KP21,FI	1661 	2031 	-258 	-52 	1443 	1753 	1480 	2010 	-191 	2792 	3961 	866 	1368 	842 	2520 	-47 	1827 	3540 	2056 	2088 	2350 	2831 	1937 
A,TOTAL,MEUR_KP21,FR	8097 	23998 	6472 	7772 	12634 	15483 	21284 	36752 	32110 	31422 	29943 	27469 	25393 	8678 	15772 	1197 	20135 	21847 	11290 	20324 	18423 	16095 	23844 
A,TOTAL,MEUR_KP21,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	19 	39 	: 	: 	: 	: 	: 	: 	: 	74 	121 
A,TOTAL,MEUR_KP21,HU	: 	: 	: 	26 	75 	103 	156 	89 	84 	101 	100 	116 	107 	112 	126 	159 	202 	-175 	983 	11243 	3172 	5355 	1140 
A,TOTAL,MEUR_KP21,IE	1131 	1087 	1959 	2519 	3738 	5007 	4744 	4800 	4788 	3561 	2470 	2097 	867 	1691 	1048 	1161 	1227 	1108 	1194 	1026 	990 	976 	2316 
A,TOTAL,MEUR_KP21,IS	12 	16 	18 	21 	22 	25 	39 	40 	51 	44 	34 	28 	30 	38 	37 	43 	66 	70 	64 	107 	55 	60 	80 
A,TOTAL,MEUR_KP21,IT	16709 	-290 	1981 	4829 	3284 	4078 	5311 	3812 	4459 	4533 	8186 	9515 	9518 	13603 	7031 	14950 	18329 	13674 	6446 	6034 	5759 	10115 	9473 
A,TOTAL,MEUR_KP21,LI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	27 	: 	24 	: 	: 	: 	: 	: 	24 	25 	22 	27 
A,TOTAL,MEUR_KP21,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	47 	: 	: 	: 	: 	: 	: 	: 	73 	177 
A,TOTAL,MEUR_KP21,LU	257 	293 	283 	312 	332 	346 	364 	421 	415 	428 	414 	386 	387 	395 	379 	380 	415 	433 	452 	468 	421 	470 	520 
A,TOTAL,MEUR_KP21,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	22 	23 	: 	: 	: 	: 	: 	: 	40 	70 
A,TOTAL,MEUR_KP21,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16 	18 	: 	: 	: 	: 	: 	: 	: 	40 
A,TOTAL,MEUR_KP21,NL	10860 	-5300 	-2102 	17550 	14622 	23145 	28092 	15999 	-11473 	5112 	11463 	18460 	17807 	16583 	58683 	68917 	39161 	34912 	13399 	25618 	11898 	-6966 	5775 
A,TOTAL,MEUR_KP21,NO	2469 	2565 	3556 	4447 	3367 	4928 	5312 	5505 	2863 	4399 	4719 	3318 	3329 	3853 	3721 	4438 	4407 	3896 	3827 	4438 	4535 	5190 	7382 
A,TOTAL,MEUR_KP21,PL	46 	51 	20 	36 	139 	210 	289 	301 	263 	324 	312 	329 	356 	399 	368 	480 	1061 	1054 	871 	885 	859 	821 	3048 
A,TOTAL,MEUR_KP21,PT	7531 	2870 	258 	1361 	714 	1133 	653 	1934 	1244 	-884 	141 	-1081 	429 	1991 	2016 	518 	720 	3272 	1399 	436 	-393 	421 	1169 
A,TOTAL,MEUR_KP21,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	116 	: 	: 	: 	: 	: 	: 	: 	353 	361 
A,TOTAL,MEUR_KP21,SE	5217 	4476 	3006 	1382 	2944 	3570 	4078 	6019 	4916 	6669 	4459 	5115 	11340 	7977 	7373 	9856 	8027 	6548 	6132 	6960 	6603 	8861 	7679 
A,TOTAL,MEUR_KP21,SI	: 	: 	: 	: 	: 	37 	45 	49 	56 	59 	51 	52 	52 	52 	52 	157 	227 	22 	213 	136 	540 	326 	540 
A,TOTAL,MEUR_KP21,SK	14 	19 	14 	24 	37 	71 	64 	64 	75 	62 	63 	69 	68 	71 	69 	84 	106 	116 	125 	103 	148 	142 	152 
A,TOTAL,MEUR_KP21,TR	130 	76 	77 	92 	816 	666 	1027 	707 	749 	809 	828 	1174 	1704 	2156 	3398 	3125 	4992 	6376 	: 	: 	: 	7033 	5754 
