freq,unit,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,EUR_HAB,AT	75.6 	80.3 	81.4 	85.4 	87.2 	84.5 	85.7 	87.2 	93.2 	99.0 	98.4 	100.4 	104.3 	105.4 	112.5 	117.0 	116.6 	119.1 	120.5 	121.2 	121.3 	125.2 	126.7 
A,EUR_HAB,BE	: 	68.7 	77.2 	80.5 	80.3 	82.5 	90.3 	86.3 	94.5 	91.7 	95.2 	95.7 	105.5 	100.3 	96.8 	91.1 	100.1 	100.3 	101.8 	102.1 	104.1 	110.0 	123.4 p
A,EUR_HAB,BG	6.8 	7.0 	8.5 	11.2 	14.9 	17.9 	22.4 	31.3 	34.8 	33.9 	27.8 	34.6 	33.9 	36.6 	39.3 	42.3 	42.1 	46.8 	48.5 	59.6 	63.6 	73.8 	86.6 b
A,EUR_HAB,CH	102.5 	107.3 	114.5 	115.0 	119.0 	123.7 	123.7 	122.6 	121.5 	130.7 	146.6 	186.8 	188.5 	185.3 	189.3 	217.1 	208.2 	205.7 	201.0 	214.5 	226.6 	226.0 	266.5 
A,EUR_HAB,CY	20.6 	22.0 	24.0 	27.8 	27.9 	29.2 	31.2 	32.3 	31.7 	31.9 	30.7 	30.9 	30.1 	29.7 	25.6 	25.5 	27.0 	30.5 	40.0 	34.5 	37.6 	36.8 	43.1 p
A,EUR_HAB,CZ	19.5 	22.1 	27.4 	27.9 	28.3 	34.3 	35.9 	39.1 	46.2 	45.5 	44.6 	46.5 	44.0 	45.3 	44.0 	51.9 	51.9 	54.7 	59.7 	65.4 	65.8 	67.9 	76.8 
A,EUR_HAB,DE	109.8 	114.0 	117.6 	117.3 	118.4 	122.3 	124.3 	124.5 	127.0 	130.8 	132.6 	134.6 	136.8 	140.2 	145.6 	146.7 	147.0 	151.4 	156.8 	162.3 p	157.7 p	163.9 p	180.5 p
A,EUR_HAB,DK	59.1 	59.8 	60.9 	64.7 	68.0 	68.0 	74.3 	77.9 	81.8 	93.8 	85.3 	99.1 	89.8 	79.4 	79.8 	79.6 	80.5 	77.0 	79.5 	85.5 	88.5 	92.9 	95.8 
A,EUR_HAB,EA19	: 	72.9 	77.9 	81.1 	79.7 	83.4 	84.4 	86.8 	90.5 	94.3 	94.5 	97.2 	94.5 	96.4 	97.7 	98.9 	99.8 	102.5 	106.6 	109.5 	108.8 	113.8 	123.2 
A,EUR_HAB,EA20	: 	72.4 	77.4 	80.6 	79.2 	82.9 	83.9 	86.3 	90.1 	93.9 	94.0 	96.6 	93.9 	95.9 	97.2 	98.3 	99.2 	102.0 	106.2 	109.1 	108.3 	113.3 	122.7 
A,EUR_HAB,EE	11.3 	11.3 	12.5 	14.8 	19.0 	20.8 	23.1 	30.8 	41.7 	31.6 	30.7 	33.3 	36.4 	40.1 	47.1 	48.0 	50.7 	55.3 	58.2 	65.0 	65.0 	64.9 	70.4 
A,EUR_HAB,EL	: 	35.6 	38.5 	39.3 	42.9 	44.3 	47.0 	52.0 	69.1 	76.3 	60.7 b	59.1 	52.8 	57.1 	67.5 	50.9 	54.1 	55.4 	62.5 	62.4 	63.0 	60.9 p	60.9 p
A,EUR_HAB,ES	43.7 	48.9 	54.3 	61.8 	61.5 	65.4 	67.7 	75.6 	83.2 	89.0 	90.0 	87.5 	82.5 	80.7 	79.6 	83.5 	83.4 	85.0 	88.0 	90.2 	92.2 	98.0 p	103.3 p
A,EUR_HAB,EU27_2020	: 	61.2 	65.5 	68.4 	67.8 	71.9 	73.9 	77.2 	81.4 	82.9 	83.8 	86.1 	84.5 	86.4 	87.5 	88.8 	89.9 	93.3 	96.9 	100.4 	100.3 	105.4 	113.7 
A,EUR_HAB,FI	: 	67.1 	70.4 	73.5 	72.5 	74.3 	74.6 	77.7 	82.8 	89.5 	90.8 	84.4 	86.4 	88.4 	89.5 	89.0 	91.7 	98.8 	100.3 	111.7 	102.3 	103.4 	103.5 
A,EUR_HAB,FR	50.4 	53.6 	58.1 	59.7 	62.1 	61.2 	61.8 	63.1 	67.4 	71.1 	73.5 	72.2 	73.5 	73.7 	75.4 	75.5 	77.7 	78.7 	82.5 	84.4 	84.5 	92.3 p	98.7 p
A,EUR_HAB,HR	32.3 	36.4 b	38.9 	41.3 	44.3 	43.9 	45.2 	54.3 	56.7 	59.2 	53.3 	51.6 	51.9 	52.7 	54.2 	51.9 	53.9 	64.8 	68.3 	73.1 	70.1 	67.7 	71.9 e
A,EUR_HAB,HU	16.9 	19.5 	24.8 	27.3 	38.2 	41.5 	40.4 	41.0 	45.5 	39.7 	38.2 	40.0 	41.3 	43.9 	41.5 	43.6 	48.4 	52.6 	57.3 	61.9 	58.8 	60.8 	60.9 p
A,EUR_HAB,IE	52.8 	65.9 	73.6 	82.6 	86.7 	88.0 	94.0 	106.7 	113.6 	98.3 	97.6 	132.5 	121.9 	121.6 	118.3 	121.1 	125.0 	131.6 	139.3 	121.7 	123.9 	141.1 	157.9 
A,EUR_HAB,IS	67.9 	62.1 	65.0 	75.0 	78.4 	92.7 	92.8 	101.7 	64.0 	57.1 	61.6 	60.8 	69.3 	74.9 	84.6 	105.7 	123.9 	150.3 	158.5 	152.1 	132.5 	141.0 	165.1 
A,EUR_HAB,IT	: 	80.3 	86.3 	91.0 	78.2 	89.4 	85.4 	86.6 	84.7 	90.1 	86.1 	97.9 	85.1 	90.9 	88.7 	92.3 	90.7 	93.9 	97.2 	99.6 	97.8 	101.2 	111.9 
A,EUR_HAB,LT	13.9 	16.0 	18.2 	20.3 	22.8 	25.5 	29.3 	34.3 	38.8 	27.0 	27.0 	27.8 	29.7 	29.2 	32.7 	35.8 	36.9 	39.0 	41.7 	45.1 	47.4 	46.6 	48.5 
A,EUR_HAB,LU	97.5 	119.3 	123.8 	129.6 	129.8 	140.4 	147.4 	150.2 	159.0 	170.2 	182.4 	179.0 	180.1 	182.1 	182.3 	190.4 	202.9 	205.7 	213.4 	229.3 	240.0 	253.0 	281.3 
A,EUR_HAB,LV	: 	16.8 	17.4 	19.7 	21.5 	24.8 	30.3 	41.9 	45.8 	36.0 	33.8 	42.7 	44.0 	45.7 	47.1 	51.4 	52.3 	57.0 	62.7 	67.5 	73.8 	82.1 	83.4 
A,EUR_HAB,MT	: 	39.4 	47.0 	52.4 	47.4 	50.3 	43.7 	48.4 	50.1 	50.2 	50.4 	55.3 	55.7 	65.8 	67.1 	49.7 	63.1 	62.5 	65.2 	79.1 	88.7 	112.7 	135.9 
A,EUR_HAB,NL	60.2 	70.8 	79.5 	90.5 	93.2 	95.9 	98.3 	106.5 	108.6 	116.1 	118.0 	121.2 	117.3 	116.5 	114.0 	112.8 	114.7 	118.2 	124.9 	127.7 	133.2 	132.2 p	140.4 p
A,EUR_HAB,NO	62.2 	65.5 	82.9 	81.8 	79.4 	89.6 	87.9 	92.9 	94.6 	93.1 	102.2 	109.3 	123.8 	120.2 	123.4 	103.6 	105.2 	104.5 	102.8 	104.4 	98.3 	107.1 	113.3 
A,EUR_HAB,PL	: 	26.8 	25.6 	27.8 	26.7 	35.1 	42.2 	49.0 	59.6 	47.3 b	54.0 	49.9 	54.1 	53.2 	55.4 	57.8 	56.8 	61.0 	65.9 	71.5 	76.2 	79.2 	86.2 b
A,EUR_HAB,PT	34.8 	35.5 	50.9 	60.5 	52.0 	57.7 	61.3 	57.7 	61.1 	62.1 	68.8 	69.2 	54.7 	61.1 	57.5 	60.9 	62.8 	62.7 	67.0 	67.4 	70.6 	72.0 	71.9 p
A,EUR_HAB,RO	: 	4.8 	5.9 	6.5 	7.5 b	11.4 	16.5 	23.2 	23.9 	19.1 	21.0 	22.3 	22.9 	29.8 	29.2 	28.9 	33.3 	46.3 	42.7 	47.7 	48.2 	56.3 	59.7 p
A,EUR_HAB,SE	: 	81.1 	86.1 	88.2 	88.9 	87.2 	97.6 	105.5 	101.7 	93.8 	109.5 	119.7 	125.7 	133.1 	127.3 	124.6 	128.9 	129.5 	123.9 	122.9 	123.4 	133.5 	130.9 
A,EUR_HAB,SI	63.5 	68.0 	70.7 	74.0 	78.1 	82.6 	80.1 	86.5 	97.8 b	99.5 	102.2 	99.7 	96.9 	96.3 	94.2 	92.6 	96.3 	95.9 	100.0 	105.5 	107.7 	112.6 	115.7 
A,EUR_HAB,SK	: 	21.1 be	21.4 e	17.5 	18.9 p	20.0 	26.9 	28.7 	33.9 	41.1 	38.5 	40.7 b	41.6 	44.5 	44.3 	48.8 	39.6 	41.6 	46.1 	56.5 	54.0 	53.5 b	59.4 
A,MIO_EUR,AT	606 	646 	658 	693 	712 	695 	709 	723 	775 	826 	823 	843 	879 	894 	961 	1009 	1019 	1047 	1065 	1076 	1081 	1120 	1147 
A,MIO_EUR,BE	: 	707 	797 	836 	837 	865 	952 	917 	1012 	990 	1037 	1056 	1172 	1119 	1085 	1028 	1134 	1141 	1163 	1173 	1201 	1275 	1442 p
A,MIO_EUR,BG	56 	56 	67 	88 	116 	138 	172 	240 	265 	257 	210 	254 	248 	266 	284 	304 	300 	332 	341 	416 	441 	508 	560 
A,MIO_EUR,CH	743 	782 	840 	850 	886 	926 	932 	932 	934 	1017 	1149 	1478 	1508 	1499 	1550 	1798 	1744 	1739 	1712 	1839 	1957 	1967 	2339 
A,MIO_EUR,CY	14 	15 	17 	20 	20 	22 	23 	25 	25 	26 	26 	26 	26 	26 	22 	22 	23 	26 	35 	30 	34 	33 	39 
A,MIO_EUR,CZ	201 	226 	279 	285 	288 	351 	369 	404 	482 	478 	470 	488 	462 	476 	464 	547 	549 	579 	634 	697 	704 	727 	820 
A,MIO_EUR,DE	8942 	9293 	9595 	9564 	9644 	9948 	10089 	10087 	10258 	10525 	10647 	10805 	11006 	11310 	11789 	11987 	12102 	12513 	12997 	13484 	13114 p	13638 p	15128 p
A,MIO_EUR,DK	315 	320 	328 	349 	368 	369 	404 	425 	449 	518 	473 	552 	502 	446 	450 	452 	461 	444 	461 	497 	516 	544 	566 
A,MIO_EUR,EA19	: 	23428 	25158 	26345 	26008 	27381 	27836 	28754 	30137 	31522 	31658 	32624 	31794 	32493 	32997 	33498 	33894 	34890 	36402 	37493 	37305 	39065 	42485 
A,MIO_EUR,EA20	: 	23584 	25326 	26523 	26199 	27570 	28031 	28988 	30381 	31777 	31887 	32845 	32016 	32717 	33227 	33716 	34119 	35158 	36682 	37790 	37589 	39333 	42766 
A,MIO_EUR,EE	16 	16 	17 	20 	26 	28 	31 	41 	56 	42 	41 	44 	48 	53 	62 	63 	67 	73 	77 	86 	86 	86 	94 
A,MIO_EUR,EL	: 	387 	420 	430 	470 	487 	518 	575 	765 	848 	675 	656 	583 	626 	735 	551 	583 	596 	671 	669 	674 	648 	644 
A,MIO_EUR,ES	1774 	1993 	2248 	2608 	2635 	2855 	3005 	3420 	3824 	4127 	4192 	4088 	3860 	3759 	3699 	3877 	3875 	3956 	4112 	4251 	4363 	4641 	4939 p
A,MIO_EUR,EU27_2020	: 	26240 	28126 	29511 	29334 	31217 	32229 	33786 	35733 	36508 	36953 	38039 	37377 	38261 	38783 	39465 	40020 	41583 	43302 	44938 	44953 	47191 	51079 
A,MIO_EUR,FI	: 	348 	366 	383 	379 	390 	393 	411 	440 	478 	487 	455 	468 	481 	489 	488 	504 	544 	553 	617 	566 	573 	575 
A,MIO_EUR,FR	3062 	3278 	3578 	3703 	3884 	3854 	3917 	4022 	4324 	4581 	4757 	4698 	4806 	4839 	4977 	5009 	5173 	5262 	5536 	5685 	5714 	6265 p	6721 p
A,MIO_EUR,HR	144 	156 	167 	178 	191 	189 	195 	234 	244 	255 	229 	221 	222 	224 	230 	218 	225 	268 	279 	297 	284 	268 	281 
A,MIO_EUR,HU	172 	199 	252 	276 	386 	419 	407 	412 	457 	397 	382 	399 	410 	434 	410 	429 	475 	515 	560 	605 	574 	590 	590 
A,MIO_EUR,IE	201 	255 	290 	330 	353 	366 	401 	470 	511 	446 	445 	607 	561 	562 	550 	569 	594 	632 	677 	599 	617 	708 	807 
A,MIO_EUR,IS	19 	18 	19 	22 	23 	28 	28 	32 	20 	18 	19 	19 	22 	24 	27 	34 	41 	51 	55 	54 	47 	51 	61 
A,MIO_EUR,IT	: 	4574 	4925 	5222 	4523 	5201 	4988 	5086 	5013 	5364 	5153 	5878 	5124 	5484 	5351 	5562 	5450 	5632 	5818 	5948 	5814 	5984 	6602 
A,MIO_EUR,LT	49 	56 	63 	69 	77 	85 	96 	111 	124 	86 	84 	84 	89 	86 	96 	104 	106 	110 	117 	126 	133 	131 	137 
A,MIO_EUR,LU	43 	53 	55 	59 	60 	65 	70 	72 	78 	85 	93 	93 	96 	99 	102 	108 	119 	123 	130 	143 	152 	162 	184 
A,MIO_EUR,LV	: 	39 	40 	45 	49 	56 	67 	92 	100 	77 	71 	88 	90 	92 	94 	102 	102 	111 	121 	129 	140 	155 	157 
A,MIO_EUR,MT	: 	16 	19 	21 	19 	20 	18 	20 	21 	21 	21 	23 	23 	28 	29 	22 	29 	29 	32 	40 	46 	58 	72 
