freq,aquaenv,geo\TIME_PERIOD	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,CST_EXC_PC,BE	40.5 	52.4 	47.6 	69.1 	76.2 	90.5 	95.2 	97.6 	97.6 	95.1 	92.7 	85.4 
A,CST_EXC_PC,BG	50.6 	61.8 	65.6 	72.2 	70.0 	63.3 	45.1 	53.9 	67.0 	63.0 	89.1 	92.4 
A,CST_EXC_PC,CH	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,CST_EXC_PC,CY	99.1 	100.0 	100.0 	100.0 	99.1 	99.1 	97.4 	99.1 	99.1 	100.0 	93.3 	99.2 
A,CST_EXC_PC,CZ	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,CST_EXC_PC,DE	75.3 	79.5 	79.0 	78.8 	76.3 	80.4 	82.8 	85.5 	86.7 	83.5 	84.6 	86.5 
A,CST_EXC_PC,DK	65.0 	71.1 	75.2 	77.3 	84.5 	85.2 	85.9 	86.8 	87.6 	90.4 	91.4 	93.9 
A,CST_EXC_PC,EE	48.2 	40.7 	42.3 	37.0 	40.7 	51.9 	51.9 	55.6 	51.9 	48.3 	53.3 	43.3 
A,CST_EXC_PC,EL	94.7 	93.4 	93.4 	97.1 	97.2 	97.1 	96.0 	97.1 	95.8 	97.1 	95.8 	96.6 
A,CST_EXC_PC,ES	84.7 	86.8 	87.2 	85.6 	87.1 	88.9 	90.5 	92.2 	93.2 	93.5 	92.1 	92.8 
A,CST_EXC_PC,EU27_2020	81.3 	83.0 	85.4 	85.9 	87.0 	88.0 	87.4 	88.1 	88.4 	88.4 	88.0 	88.9 
A,CST_EXC_PC,FI	70.2 	70.2 	65.9 	63.0 	62.3 	58.4 	68.8 	65.8 	63.6 	71.8 	66.7 	73.1 
A,CST_EXC_PC,FR	65.4 	66.3 	75.6 	77.3 	78.5 	79.1 	79.8 	80.0 	82.0 	79.4 	77.8 	77.6 
A,CST_EXC_PC,HR	97.8 	96.1 	95.4 	96.4 	96.6 	96.4 	95.8 	95.6 	98.4 	98.8 	99.2 	98.9 
A,CST_EXC_PC,HU	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,CST_EXC_PC,IE	84.1 	66.1 	84.9 	74.8 	72.7 	71.8 	70.7 	69.9 	71.7 	74.1 	77.0 	78.4 
A,CST_EXC_PC,IT	83.0 	86.3 	88.5 	90.0 	90.4 	90.8 	89.9 	90.0 	88.2 	88.7 	88.1 	89.8 
A,CST_EXC_PC,LT	81.3 	81.3 	81.3 	87.5 	87.5 	87.5 	87.5 	87.5 	100.0 	93.8 	87.5 	87.5 
A,CST_EXC_PC,LU	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,CST_EXC_PC,LV	43.8 	37.5 	51.5 	63.6 	69.7 	84.9 	93.9 	97.0 	84.9 	69.7 	75.0 	81.8 
A,CST_EXC_PC,ME	71.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,CST_EXC_PC,MK	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,CST_EXC_PC,MT	97.7 	96.6 	98.9 	100.0 	97.7 	98.9 	98.9 	98.9 	97.7 	96.6 	96.6 	94.3 
A,CST_EXC_PC,NL	67.8 	78.9 	74.2 	68.9 	75.8 	82.4 	80.2 	73.6 	76.7 	75.8 	82.2 	85.7 
A,CST_EXC_PC,PL	80.9 	73.9 	75.9 	60.0 	55.4 	56.2 	48.5 	30.8 	29.5 	30.7 	43.5 	50.8 
A,CST_EXC_PC,PT	88.4 	91.8 	92.2 	87.4 	89.6 	89.0 	90.6 	94.4 	95.6 	93.3 	92.4 	90.8 
A,CST_EXC_PC,RO	87.8 	8.2 	34.7 	22.5 	30.6 	69.4 	51.0 	57.1 	77.6 	71.4 	85.7 	91.8 
A,CST_EXC_PC,RS	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,CST_EXC_PC,SE	55.0 	61.7 	53.4 	50.6 	56.9 	69.0 	41.8 	61.9 	72.5 	77.4 	73.2 	70.1 
A,CST_EXC_PC,SI	95.2 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	95.2 	95.2 	95.2 	95.2 
A,CST_EXC_PC,SK	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,CST_EXC_PC,XK	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,CST_NR,AL	: 	: 	73 	73 	78 	92 	102 	102 	113 	113 	113 	113 
A,CST_NR,AT	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,CST_NR,BE	42 	42 	42 	42 	42 	42 	42 	42 	42 	41 	41 	41 
A,CST_NR,BG	89 	89 	90 	90 	90 	90 	91 	91 	91 	92 	92 	92 
A,CST_NR,CH	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,CST_NR,CY	112 	112 	112 	112 	113 	113 	113 	113 	113 	112 	120 	120 
A,CST_NR,CZ	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,CST_NR,DE	372 	366 	367 	363 	367 	367 	366 	366 	367 	363 	363 	362 
A,CST_NR,DK	1011 	973 	923 	917 	918 	921 	915 	910 	905 	906 	908 	917 
A,CST_NR,EE	27 	27 	26 	27 	27 	27 	27 	27 	27 	29 	30 	30 
A,CST_NR,EL	2149 	2149 	2156 	1538 	1540 	1540 	1595 	1595 	1631 	1631 	1680 	1679 
