freq,sex,leg_stat,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,M,PER_VICT,P_HTHAB,CZ	0.16 	0.08 	0.51 	0.35 	0.33 	1.05 	0.70 	0.00 	0.14 	: 	: 	0.00 	0.02 	0.00 	0.02 
A,M,PER_VICT,P_HTHAB,DE	0.19 	0.27 	0.12 	0.11 	0.06 	0.18 	0.11 	0.14 	0.13 	0.47 	0.28 	0.22 	0.42 	0.39 	2.01 
A,M,PER_VICT,P_HTHAB,DK	0.00 	0.04 	0.04 	0.00 	0.36 	0.43 	0.29 	1.49 	0.25 	0.28 	2.12 	0.76 	0.73 	1.27 	0.82 
A,M,PER_VICT,P_HTHAB,EE	: 	: 	: 	6.29 	2.26 	1.62 	0.16 	0.65 	0.49 	0.16 	0.32 	0.32 	0.16 	1.27 	4.89 
A,M,PER_VICT,P_HTHAB,EL	0.15 	0.38 	0.16 	0.51 	0.33 	0.97 	0.21 	1.04 	2.26 	0.48 	0.75 	0.61 	1.00 	0.89 	1.27 
A,M,PER_VICT,P_HTHAB,ES	: 	0.09 	0.58 	0.07 	0.01 	0.00 	0.03 	0.44 	0.12 	0.33 	0.37 	0.65 	0.21 	0.10 	0.36 
A,M,PER_VICT,P_HTHAB,EU_V	0.65 	0.58 	0.64 	0.72 	0.84 	0.65 	0.52 	0.64 	0.70 	0.84 	0.87 	1.33 	1.01 	0.96 	1.65 
A,M,PER_VICT,P_HTHAB,FI	0.69 	1.49 	1.10 	1.52 	1.43 	0.71 	0.41 	0.56 	1.63 	1.18 	1.29 	1.69 	2.82 	2.05 	4.85 
A,M,PER_VICT,P_HTHAB,FR	0.04 	0.18 	0.07 	0.05 	0.03 	0.06 	0.09 	: 	1.10 	0.97 	1.20 	1.47 	1.00 	1.51 	2.03 
A,M,PER_VICT,P_HTHAB,HR	0.24 	0.00 	0.05 	0.05 	0.19 	0.49 	0.39 	0.00 	0.45 	0.80 	2.42 	0.41 	0.41 	0.51 	0.21 
A,M,PER_VICT,P_HTHAB,HU	0.02 	0.00 	0.19 	0.15 	0.08 	1.17 	0.81 	1.24 	1.19 	1.24 	0.88 	0.41 	0.09 	1.44 	1.46 
A,M,PER_VICT,P_HTHAB,IE	: 	0.40 	0.75 	0.40 	0.75 	0.48 	0.65 	0.87 	1.54 	1.35 	1.46 	0.17 	0.20 	0.65 	0.60 
A,M,PER_VICT,P_HTHAB,IT	0.83 	: 	: 	1.25 	2.52 	: 	: 	0.41 	0.41 	0.50 	0.28 	2.04 	1.45 	1.23 	2.46 
A,M,PER_VICT,P_HTHAB,LT	0.00 	0.00 	0.00 	0.00 	0.22 	1.68 	1.92 	1.93 	1.88 	2.59 	0.77 	1.62 	0.61 	1.22 	0.38 
A,M,PER_VICT,P_HTHAB,LU	0.00 	0.00 	0.40 	0.00 	0.38 	0.00 	2.54 	0.00 	1.73 	2.70 	1.32 	1.62 	2.54 	12.52 	6.15 
A,M,PER_VICT,P_HTHAB,LV	0.00 	0.10 	0.00 	0.42 	0.32 	0.00 	0.87 	0.11 	0.44 	0.34 	0.56 	2.60 	3.86 	5.60 	0.81 
A,M,PER_VICT,P_HTHAB,MT	0.00 	0.00 	0.00 	0.48 	0.00 	0.00 	2.33 	0.00 	7.95 	0.00 	5.82 	1.19 	0.00 	0.00 	1.11 
A,M,PER_VICT,P_HTHAB,NL	0.57 	1.69 	1.38 	2.73 	2.40 	1.96 	2.70 	3.26 	2.64 	3.00 	2.92 	7.49 	4.86 	3.09 	3.53 
A,M,PER_VICT,P_HTHAB,PL	: 	: 	: 	: 	: 	0.33 	0.35 	0.26 	0.19 	: 	: 	: 	: 	0.00 	: 
A,M,PER_VICT,P_HTHAB,PT	0.24 	0.24 	0.12 	0.04 	0.06 	2.36 	1.03 	1.60 	2.73 	0.82 	1.60 	2.21 	1.34 	3.03 	3.11 
A,M,PER_VICT,P_HTHAB,RO	6.23 	3.62 	5.10 	3.91 	3.74 	3.27 	1.99 	: 	: 	1.63 	1.40 	1.23 	1.41 	0.65 	1.08 
A,M,PER_VICT,P_HTHAB,SE	0.02 	0.09 	0.11 	0.21 	0.13 	: 	0.04 	: 	0.08 	: 	: 	2.16 	1.31 	1.07 	1.60 
A,M,PER_VICT,P_HTHAB,SI	0.10 	1.49 	0.30 	0.10 	0.20 	0.10 	0.10 	0.00 	0.20 	0.10 	3.02 	0.10 	0.00 	0.09 	0.00 
A,M,PER_VICT,P_HTHAB,SK	0.08 	0.65 	0.53 	0.50 	0.23 	0.34 	0.46 	1.59 	1.02 	1.13 	0.83 	1.32 	1.01 	0.75 	0.87 
A,T,PER_VICT,P_HTHAB,AT	0.43 	1.31 	0.74 	0.84 	1.23 	0.85 	0.92 	4.49 	4.31 	4.43 	4.43 	4.56 	4.29 	4.43 	5.01 
A,T,PER_VICT,P_HTHAB,BE	1.84 	1.47 	1.26 	1.35 	1.42 	1.04 	1.23 	1.04 	1.05 	1.23 	1.18 	1.34 	0.71 	1.26 	1.99 
A,T,PER_VICT,P_HTHAB,BG	3.33 	4.63 	7.81 	7.34 	7.90 	7.41 	6.78 	5.68 	6.25 	0.27 	0.13 	0.43 	0.81 	0.62 	0.60 
A,T,PER_VICT,P_HTHAB,CY	7.47 	14.18 	6.35 	4.76 	4.29 	16.17 	12.70 	5.43 	5.19 	15.68 	18.05 	4.11 	2.82 	2.34 	1.77 
